日期,时间段,气温,风向编码,风力编码,降水强度,天气_多云,天气_晴,天气_阴,天气_雨,天气_雪,天气_雾霾沙尘
2011/2/14,0,10.0,9,0,0,1,0,0,0,0,0
2011/2/14,1,-2.0,8,0,0,1,0,0,0,0,0
2011/2/15,0,6.0,9,0,0,0,0,1,0,0,0
2011/2/15,1,-2.0,9,0,0,0,0,1,0,0,0
2011/2/16,0,6.0,9,0,0,1,0,0,0,0,0
2011/2/16,1,-2.0,8,0,0,1,0,0,0,0,0
2011/2/17,0,7.0,9,0,0,0,0,1,0,0,0
2011/2/17,1,1.0,8,0,0,0,0,1,0,0,0
2011/2/18,0,6.0,9,0,1,0,0,0,0,1,0
2011/2/18,1,1.0,8,0,0,0,0,1,0,0,0
2011/2/19,0,8.0,9,0,0,0,0,1,0,0,0
2011/2/19,1,3.0,9,0,0,0,0,1,0,0,0
2011/2/20,0,11.0,9,0,0,0,0,1,0,0,0
2011/2/20,1,2.0,8,0,0,0,0,1,0,0,0
2011/2/21,0,11.0,9,0,0,0,0,1,0,0,0
2011/2/21,1,3.0,9,0,0,0,0,1,0,0,0
2011/2/22,0,11.0,9,0,0,0,0,1,0,0,0
2011/2/22,1,4.0,8,0,0,1,0,0,0,0,0
2011/2/23,0,17.0,9,0,0,1,0,0,0,0,0
2011/2/23,1,4.0,8,0,0,1,0,0,0,0,0
2011/2/24,0,17.0,9,0,0,1,0,0,0,0,0
2011/2/24,1,4.0,8,0,1,0,0,0,1,0,0
2011/2/25,0,8.0,2,2,1,0,0,0,1,0,0
2011/2/25,1,3.0,2,2,2,0,0,0,1,0,0
2011/2/26,0,5.0,1,2,1,0,0,0,1,0,0
2011/2/26,1,0.0,8,0,1,0,0,0,0,1,0
2011/2/27,0,4.0,1,2,1,0,0,0,0,1,0
2011/2/27,1,0.0,9,0,1,0,0,0,0,1,0
2011/2/28,0,5.0,9,0,1,0,0,0,0,1,0
2011/2/28,1,0.0,8,0,0,0,0,1,0,0,0
2011/3/1,0,8.0,9,0,0,1,0,0,0,0,0
2011/3/1,1,0.0,8,0,0,0,1,0,0,0,0
2011/3/2,0,12.0,9,0,0,0,1,0,0,0,0
2011/3/2,1,1.0,8,0,0,0,1,0,0,0,0
2011/3/3,0,10.0,9,0,0,1,0,0,0,0,0
2011/3/3,1,1.0,8,0,0,1,0,0,0,0,0
2011/3/4,0,12.0,9,0,0,1,0,0,0,0,0
2011/3/4,1,4.0,8,0,0,0,0,1,0,0,0
2011/3/5,0,9.0,9,0,0,0,0,1,0,0,0
2011/3/5,1,3.0,8,0,0,0,0,1,0,0,0
2011/3/6,0,13.0,9,0,0,0,0,1,0,0,0
2011/3/6,1,2.0,8,0,0,0,1,0,0,0,0
2011/3/7,0,16.0,9,0,0,0,1,0,0,0,0
2011/3/7,1,3.0,8,0,0,0,1,0,0,0,0
2011/3/8,0,17.0,9,0,0,1,0,0,0,0,0
2011/3/8,1,4.0,8,0,0,1,0,0,0,0,0
2011/3/9,0,13.0,9,0,0,1,0,0,0,0,0
2011/3/9,1,3.0,8,0,0,0,1,0,0,0,0
2011/3/10,0,15.0,9,0,0,1,0,0,0,0,0
2011/3/10,1,5.0,8,0,0,1,0,0,0,0,0
2011/3/11,0,17.0,9,0,0,0,1,0,0,0,0
2011/3/11,1,5.0,8,0,0,0,1,0,0,0,0
2011/3/12,0,19.0,9,0,0,0,1,0,0,0,0
2011/3/12,1,9.0,8,0,0,1,0,0,0,0,0
2011/3/13,0,20.0,9,0,0,1,0,0,0,0,0
2011/3/13,1,5.0,5,2,0,1,0,0,0,0,0
2011/3/14,0,10.0,7,2,0,0,0,1,0,0,0
2011/3/14,1,1.0,7,2,0,1,0,0,0,0,0
2011/3/15,0,12.0,9,0,0,0,1,0,0,0,0
2011/3/15,1,1.0,8,0,0,0,1,0,0,0,0
2011/3/16,0,15.0,9,0,0,0,1,0,0,0,0
2011/3/16,1,3.0,8,0,0,0,1,0,0,0,0
2011/3/17,0,19.0,9,0,0,1,0,0,0,0,0
2011/3/17,1,6.0,8,0,0,0,0,1,0,0,0
2011/3/18,0,15.0,9,0,0,1,0,0,0,0,0
2011/3/18,1,7.0,8,0,0,0,0,1,0,0,0
2011/3/19,0,9.0,9,0,1,0,0,0,1,0,0
2011/3/19,1,3.0,8,0,1,0,0,0,1,0,0
2011/3/20,0,6.0,9,0,1,0,0,0,1,0,0
2011/3/20,1,3.0,8,0,1,0,0,0,1,0,0
2011/3/21,0,7.0,9,0,0,0,0,1,0,0,0
2011/3/21,1,1.0,8,0,0,0,0,1,0,0,0
2011/3/22,0,12.0,9,0,0,1,0,0,0,0,0
2011/3/22,1,2.0,8,0,0,1,0,0,0,0,0
2011/3/23,0,12.0,9,0,0,1,0,0,0,0,0
2011/3/23,1,2.0,8,0,0,1,0,0,0,0,0
2011/3/24,0,11.0,9,0,0,1,0,0,0,0,0
2011/3/24,1,3.0,8,0,0,1,0,0,0,0,0
2011/3/25,0,15.0,9,0,0,0,1,0,0,0,0
2011/3/25,1,3.0,8,0,0,0,1,0,0,0,0
2011/3/26,0,17.0,9,0,0,0,1,0,0,0,0
2011/3/26,1,4.0,9,0,0,0,1,0,0,0,0
2011/3/27,0,17.0,9,0,0,0,1,0,0,0,0
2011/3/27,1,5.0,8,0,0,1,0,0,0,0,0
2011/3/28,0,19.0,9,0,0,0,1,0,0,0,0
2011/3/28,1,7.0,8,0,0,0,1,0,0,0,0
2011/3/29,0,21.0,9,0,0,1,0,0,0,0,0
2011/3/29,1,9.0,8,0,0,1,0,0,0,0,0
2011/3/30,0,22.0,9,0,0,0,1,0,0,0,0
2011/3/30,1,11.0,8,0,0,1,0,0,0,0,0
2011/3/31,0,22.0,9,0,0,1,0,0,0,0,0
2011/3/31,1,12.0,8,0,0,0,0,1,0,0,0
2011/4/1,0,17.0,8,1,1,0,0,0,1,0,0
2011/4/1,1,7.0,8,1,1,0,0,0,1,0,0
2011/4/2,0,13.0,8,1,1,0,0,0,1,0,0
2011/4/2,1,4.0,8,1,0,1,0,0,0,0,0
2011/4/3,0,13.0,8,1,0,1,0,0,0,0,0
2011/4/3,1,4.0,8,1,0,1,0,0,0,0,0
2011/4/4,0,13.0,8,1,0,0,0,1,0,0,0
2011/4/4,1,5.0,8,1,0,0,0,1,0,0,0
2011/4/5,0,14.0,8,1,1,0,0,0,1,0,0
2011/4/5,1,8.0,1,2,1,0,0,0,1,0,0
2011/4/6,0,13.0,8,1,0,0,0,1,0,0,0
2011/4/6,1,8.0,8,1,0,0,0,1,0,0,0
2011/4/7,0,15.0,8,1,0,1,0,0,0,0,0
2011/4/7,1,7.0,8,1,0,1,0,0,0,0,0
2011/4/8,0,19.0,8,1,0,1,0,0,0,0,0
2011/4/8,1,10.0,8,1,0,1,0,0,0,0,0
2011/4/9,0,24.0,8,1,0,1,0,0,0,0,0
2011/4/9,1,10.0,8,1,0,0,1,0,0,0,0
2011/4/10,0,24.0,8,1,0,0,1,0,0,0,0
2011/4/10,1,9.0,8,1,0,0,1,0,0,0,0
2011/4/11,0,20.0,8,1,0,1,0,0,0,0,0
2011/4/11,1,11.0,8,1,0,1,0,0,0,0,0
2011/4/12,0,24.0,8,1,0,1,0,0,0,0,0
2011/4/12,1,12.0,8,1,0,0,1,0,0,0,0
2011/4/13,0,27.0,8,1,0,0,1,0,0,0,0
2011/4/13,1,15.0,8,1,0,1,0,0,0,0,0
2011/4/14,0,28.0,8,1,0,1,0,0,0,0,0
2011/4/14,1,15.0,8,1,0,1,0,0,0,0,0
2011/4/15,0,27.0,8,1,0,0,1,0,0,0,0
2011/4/15,1,17.0,8,1,0,1,0,0,0,0,0
