SO2,NO2,PM10,CO,O31小时,O38小时,PM2.5
110.0,115.0,149.0,89.0,16.0,22.0,216.0
116.0,138.0,273.0,105.0,10.0,13.0,383.0
114.0,117.0,182.0,45.0,9.0,13.0,320.0
110.0,111.0,131.0,35.0,25.0,9.0,143.0
76.0,84.0,68.0,21.0,58.0,24.0,39.0
86.0,92.0,73.0,23.0,40.0,18.0,69.0
90.0,116.0,115.0,30.0,52.0,17.0,139.0
32.0,104.0,117.0,38.0,67.0,85.0,108.0
28.0,93.0,122.0,34.0,46.0,67.0,100.0
34.0,106.0,134.0,45.0,35.0,48.0,144.0
17.0,83.0,106.0,51.0,26.0,26.0,137.0
6.0,82.0,123.0,49.0,2.0,2.0,198.0
18.0,84.0,97.0,42.0,15.0,15.0,162.0
10.0,55.0,65.0,29.0,15.0,18.0,100.0
4.0,48.0,81.0,29.0,17.0,24.0,102.0
24.0,53.0,182.0,34.0,32.0,42.0,158.0
44.0,73.77817622336383,151.0,37.0,58.0,29.400347690914874,155.0
25.0,65.0,93.0,20.0,39.0,50.0,83.0
38.0,102.0,100.0,26.0,43.0,58.0,87.0
20.0,92.0,96.0,24.0,34.0,44.0,83.0
15.0,102.0,96.0,25.0,38.0,50.0,70.0
18.0,90.0,94.0,25.0,35.0,44.0,72.0
25.0,93.0,104.0,24.0,32.0,40.0,90.0
14.0,74.0,100.0,18.0,27.0,38.0,68.0
12.0,50.0,87.0,14.0,29.0,43.0,55.0
14.0,65.0,153.0,23.0,27.0,40.0,109.0
29.0,79.0,102.0,24.0,31.0,36.0,99.0
14.0,51.7869368538162,104.0,17.0,34.0,43.0,83.0
23.0,48.0,114.0,15.0,20.0,27.0,64.0
19.0,90.0,136.0,32.0,22.0,21.0,173.0
45.0,102.0,143.0,35.0,54.0,70.0,172.0
44.0,101.0,135.0,32.0,11.0,15.0,129.0
30.0,106.0,192.0,36.0,39.0,49.0,210.0
30.0,103.0,156.0,31.0,38.0,40.0,231.0
46.0,106.0,171.0,31.0,38.0,50.0,223.0
32.0,98.0,154.0,25.0,25.0,30.0,196.0
38.0,106.0,139.0,31.0,32.0,37.0,124.0
31.0,107.0,126.0,31.0,28.0,33.0,109.0
16.0,82.0,105.0,23.0,36.0,45.0,120.0
32.0,60.0,155.0,16.0,36.0,46.0,119.0
37.0,106.0,174.0,32.0,37.0,40.0,192.0
36.0,102.0,132.0,29.0,28.0,32.0,130.0
28.0,88.0,151.0,31.0,16.0,18.0,170.0
32.0,70.0,153.0,25.0,31.0,43.0,108.0
31.0,102.0,160.0,38.0,26.0,25.0,114.0
31.0,97.0,165.0,47.0,28.0,28.0,85.0
44.0,89.0,137.0,68.0,37.0,47.0,147.0
45.0,93.0,171.0,75.0,16.0,17.0,256.0
40.0,70.09453049487938,156.0,70.0,25.0,32.0,210.0
29.0,69.0,133.0,60.0,23.0,33.0,158.0
46.0,82.0,500.0,66.0,14.0,16.0,315.0
52.0,90.0,500.0,62.0,15.0,12.0,274.0
47.0,62.71459423024905,120.0,51.0,16.0,21.0,112.0
60.0,117.0,179.0,63.0,38.0,41.0,127.0
57.0,104.0,288.0,61.0,26.0,29.0,162.0
69.0,111.0,345.0,74.0,32.0,41.0,223.0
41.0,98.0,177.0,53.0,33.22361657951272,39.81180460522501,125.0
50.0,93.0,205.0,57.0,33.6837891041001,40.38828340164956,130.0
65.0,94.0,168.0,50.0,35.69398303459619,42.7955414774546,112.0
45.0,59.0,164.0,38.0,22.0,31.0,65.0
72.0,113.0,357.0,88.0,15.0,33.0,326.0
81.0,117.0,349.0,86.0,39.0,48.0,382.0
94.0,130.0,347.0,101.0,21.0,17.0,394.0
87.99258269273598,114.0,282.0,73.0,94.0,27.0,365.0
83.16624801454577,109.0,282.0,73.0,44.0,51.0,354.0
72.90011109142672,103.0,153.0,65.0,42.0,50.0,252.0
53.90244748445983,87.0,100.0,46.0,46.0,54.0,133.0
92.0,102.0,113.0,50.0,18.0,16.0,175.0
80.0,75.0,90.0,35.0,9.0,9.0,137.0
58.0,59.0,84.0,30.0,9.0,8.0,122.0
27.0,57.0,95.0,32.0,17.0,17.0,120.0
84.0,94.0,169.0,68.0,20.0,15.0,291.0
69.0,95.0,181.0,70.0,20.0,21.0,345.0
44.0,69.0,84.0,46.0,23.0,28.0,90.0
66.0,79.0,87.0,46.0,16.0,17.0,124.0
62.0,64.0,111.0,52.0,20.0,24.0,175.0
53.0,70.0,305.9664583387089,63.0,4.0,4.0,307.0
77.0,94.0,500.0,71.0,18.0,18.0,500.0
102.0,105.0,172.0,64.0,12.0,13.0,303.0
53.0,85.0,91.0,56.0,9.0,7.0,150.0
65.0,87.0,127.0,67.0,6.0,6.0,208.0
84.0,113.0,205.0,96.0,3.0,4.0,325.0
69.0,72.0,97.0,72.0,13.0,13.0,144.0
28.0,18.0,104.0,75.0,2.0,2.0,200.0
53.0,20.0,129.0,70.0,2.0,2.0,250.0
78.0,24.0,297.0,91.0,3.0,3.0,385.0
87.0,26.0,416.0,102.0,3.0,3.0,459.0
