点位名称,SO2,NO2,PM10,CO,O31小时,O38小时,PM2.5,首要污染物,时间
高压开关厂 ,132,140,205,109,8,8,329,7,2013-01-18
高压开关厂 ,107,117,143,101,12,14,214,6,2013-01-17
高压开关厂 ,107,122,235,107,24,20,300,6,2013-01-16
高压开关厂 ,109,103,151,89,25,31,148,4,2013-01-15
高压开关厂 ,126,155,500,114,11,5,500,7,2013-01-14
高压开关厂 ,115,144,298,108,12,15,399,7,2013-01-13
高压开关厂 ,133,139,215,103,10,14,308,7,2013-01-12
高压开关厂 ,112,122,171,104,33,37,269,6,2013-01-11
高压开关厂 ,124,133,198,102,14,18,333,7,2013-01-10
高压开关厂 ,110,115,149,89,16,22,216,6,2013-01-09
高压开关厂 ,116,138,273,105,10,13,383,7,2013-01-08
高压开关厂 ,114,117,182,45,9,13,320,7,2013-01-05
高压开关厂 ,110,111,131,35,25,9,143,3,2013-01-04
高压开关厂 ,76,84,68,21,58,24,39,1,2013-01-03
高压开关厂 ,86,92,73,23,40,18,69,1,2013-01-02
高压开关厂 ,90,116,115,30,52,17,139,3,2013-01-01
兴庆小区 ,32,104,117,38,67,85,108,3,2013-04-26
兴庆小区 ,28,93,122,34,46,67,100,3,2013-04-25
兴庆小区 ,34,106,134,45,35,48,144,3,2013-04-24
兴庆小区 ,17,83,106,51,26,26,137,3,2013-04-23
兴庆小区 ,6,82,123,49,2,2,198,4,2013-04-22
兴庆小区 ,18,84,97,42,15,15,162,4,2013-04-21
兴庆小区 ,10,55,65,29,15,18,100,1,2013-04-20
兴庆小区 ,4,48,81,29,17,24,102,3,2013-04-19
兴庆小区 ,24,53,182,34,32,42,158,4,2013-04-18
兴庆小区 ,44,74,151,37,58,29,155,4,2013-04-17
兴庆小区 ,25,65,93,20,39,50,83,1,2013-04-16
兴庆小区 ,38,102,100,26,43,58,87,3,2013-04-15
兴庆小区 ,20,92,96,24,34,44,83,1,2013-04-14
兴庆小区 ,15,102,96,25,38,50,70,3,2013-04-13
兴庆小区 ,18,90,94,25,35,44,72,1,2013-04-12
兴庆小区 ,25,93,104,24,32,40,90,3,2013-04-11
兴庆小区 ,14,74,100,18,27,38,68,1,2013-04-10
兴庆小区 ,12,50,87,14,29,43,55,1,2013-04-09
兴庆小区 ,14,65,153,23,27,40,109,4,2013-04-08
兴庆小区 ,29,79,102,24,31,36,99,3,2013-04-07
兴庆小区 ,14,52,104,17,34,43,83,3,2013-04-06
兴庆小区 ,23,48,114,15,20,27,64,3,2013-04-05
兴庆小区 ,19,90,136,32,22,21,173,4,2013-04-04
兴庆小区 ,45,102,143,35,54,70,172,4,2013-04-03
兴庆小区 ,44,101,135,32,11,15,129,3,2013-04-02
兴庆小区 ,30,106,192,36,39,49,210,6,2013-04-01
兴庆小区 ,30,103,156,31,38,40,231,6,2013-03-31
兴庆小区 ,46,106,171,31,38,50,223,6,2013-03-30
兴庆小区 ,32,98,154,25,25,30,196,4,2013-03-29
兴庆小区 ,38,106,139,31,32,37,124,3,2013-03-28
兴庆小区 ,31,107,126,31,28,33,109,3,2013-03-27
兴庆小区 ,16,82,105,23,36,45,120,3,2013-03-26
兴庆小区 ,32,60,155,16,36,46,119,4,2013-03-24
兴庆小区 ,37,106,174,32,37,40,192,4,2013-03-23
兴庆小区 ,36,102,132,29,28,32,130,3,2013-03-22
兴庆小区 ,28,88,151,31,16,18,170,4,2013-03-21
兴庆小区 ,32,70,153,25,31,43,108,4,2013-03-20
兴庆小区 ,31,102,160,38,26,25,114,4,2013-03-19
兴庆小区 ,31,97,165,47,28,28,85,4,2013-03-18
兴庆小区 ,44,89,137,68,37,47,147,3,2013-03-17
兴庆小区 ,45,93,171,75,16,17,256,6,2013-03-16
兴庆小区 ,40,70,156,70,25,32,210,6,2013-03-15
兴庆小区 ,29,69,133,60,23,33,158,4,2013-03-14
兴庆小区 ,46,82,500,66,14,16,315,7,2013-03-13
兴庆小区 ,52,90,500,62,15,12,274,7,2013-03-12
兴庆小区 ,47,63,120,51,16,21,112,3,2013-03-11
兴庆小区 ,60,117,179,63,38,41,127,4,2013-03-08
兴庆小区 ,57,104,288,61,26,29,162,6,2013-03-06
兴庆小区 ,69,111,345,74,32,41,223,7,2013-03-05
兴庆小区 ,41,98,177,53,33,40,125,4,2013-03-04
兴庆小区 ,50,93,205,57,34,40,130,6,2013-03-03
兴庆小区 ,65,94,168,50,36,43,112,4,2013-03-02
兴庆小区 ,45,59,164,38,22,31,65,4,2013-03-01
兴庆小区 ,72,113,357,88,15,33,326,7,2013-02-28
兴庆小区 ,81,117,349,86,39,48,382,7,2013-02-27
兴庆小区 ,94,130,347,101,21,17,394,7,2013-02-26
兴庆小区 ,88,114,282,73,94,27,365,7,2013-02-25
兴庆小区 ,83,109,282,73,44,51,354,7,2013-02-24
兴庆小区 ,73,103,153,65,42,50,252,6,2013-02-23
兴庆小区 ,54,87,100,46,46,54,133,3,2013-02-22
兴庆小区 ,92,102,113,50,18,16,175,4,2013-02-21
兴庆小区 ,80,75,90,35,9,9,137,3,2013-02-20
兴庆小区 ,58,59,84,30,9,8,122,3,2013-02-19
兴庆小区 ,27,57,95,32,17,17,120,3,2013-02-18
兴庆小区 ,84,94,169,68,20,15,291,6,2013-02-17
兴庆小区 ,69,95,181,70,20,21,345,7,2013-02-16
兴庆小区 ,44,69,84,46,23,28,90,1,2013-02-15
兴庆小区 ,66,79,87,46,16,17,124,3,2013-02-13
兴庆小区 ,62,64,111,52,20,24,175,4,2013-02-12
兴庆小区 ,53,70,306,63,4,4,307,7,2013-02-11
兴庆小区 ,77,94,500,71,18,18,500,7,2013-02-10
兴庆小区 ,102,105,172,64,12,13,303,7,2013-02-09
兴庆小区 ,53,85,91,56,9,7,150,3,2013-02-08
兴庆小区 ,65,87,127,67,6,6,208,6,2013-02-07
兴庆小区 ,84,113,205,96,3,4,325,7,2013-02-06
兴庆小区 ,69,72,97,72,13,13,144,3,2013-02-05
兴庆小区 ,28,18,104,75,2,2,200,4,2013-02-04
兴庆小区 ,53,20,129,70,2,2,250,6,2013-02-03
兴庆小区 ,78,24,297,91,3,3,385,7,2013-02-02
兴庆小区 ,87,26,416,102,3,3,459,7,2013-02-01
兴庆小区 ,84,25,246,87,6,6,370,7,2013-01-31
兴庆小区 ,106,30,438,94,6,6,447,7,2013-01-30
兴庆小区 ,93,28,269,78,10,10,346,7,2013-01-29
兴庆小区 ,102,80,289,81,3,4,321,7,2013-01-28
兴庆小区 ,94,121,170,59,5,6,219,6,2013-01-27
兴庆小区 ,108,113,170,58,8,9,183,4,2013-01-26
兴庆小区 ,72,106,136,56,11,13,137,3,2013-01-25
兴庆小区 ,68,77,87,36,18,23,54,1,2013-01-24
兴庆小区 ,81,131,199,79,4,5,299,6,2013-01-23
兴庆小区 ,68,89,98,44,20,22,124,3,2013-01-22
兴庆小区 ,87,84,79,36,16,18,78,1,2013-01-21
兴庆小区 ,76,111,250,83,4,3,368,7,2013-01-20
兴庆小区 ,113,131,478,103,3,4,458,7,2013-01-19
兴庆小区 ,108,125,325,92,4,4,349,7,2013-01-18
兴庆小区 ,91,105,185,61,6,7,242,6,2013-01-17
兴庆小区 ,100,104,167,50,8,8,193,4,2013-01-16
兴庆小区 ,104,84,160,41,13,14,120,4,2013-01-15
兴庆小区 ,116,139,449,90,4,5,469,7,2013-01-14
兴庆小区 ,107,120,275,69,5,5,337,6,2013-01-13
兴庆小区 ,115,119,216,66,4,5,316,6,2013-01-12
兴庆小区 ,102,114,200,80,13,14,250,6,2013-01-11
兴庆小区 ,116,129,416,84,6,9,389,7,2013-01-10
兴庆小区 ,105,104,176,65,4,5,236,6,2013-01-09
兴庆小区 ,106,125,407,87,6,9,373,7,2013-01-08
兴庆小区 ,108,121,256,101,7,10,389,3,2013-01-07
兴庆小区 ,104,82,185,95,8,11,376,3,2013-01-06
兴庆小区 ,120,70,258,71,7,10,278,6,2013-01-05
兴庆小区 ,107,44,126,41,21,10,156,4,2013-01-04
兴庆小区 ,46,23,63,13,46,21,42,1,2013-01-03
兴庆小区 ,61,27,105,21,34,15,87,3,2013-01-02
兴庆小区 ,62,43,144,33,43,17,103,3,2013-01-01
纺织城 ,34,117,126,41,35,48,133,3,2013-04-26
纺织城 ,20,110,115,65,33,45,102,3,2013-04-25
纺织城 ,3,51,135,37,28,35,113,3,2013-04-24
纺织城 ,3,104,113,22,16,19,93,3,2013-04-23
纺织城 ,6,102,109,28,2,3,119,3,2013-04-22
纺织城 ,11,106,107,50,10,12,95,3,2013-04-21
纺织城 ,33,78,62,30,12,15,58,1,2013-04-20
纺织城 ,8,68,73,27,13,17,83,1,2013-04-19
纺织城 ,31,67,262,25,29,33,160,6,2013-04-18
纺织城 ,49,104,164,36,41,55,135,4,2013-04-17
纺织城 ,31,95,115,23,34,45,92,3,2013-04-16
纺织城 ,45,113,118,35,34,42,89,3,2013-04-15
纺织城 ,33,94,114,38,29,40,79,3,2013-04-14
纺织城 ,23,97,95,32,32,37,67,1,2013-04-13
纺织城 ,21,98,98,36,29,40,73,1,2013-04-12
纺织城 ,46,107,105,37,23,29,84,3,2013-04-11
纺织城 ,22,83,97,23,26,37,69,1,2013-04-10
纺织城 ,16,58,83,18,26,37,58,1,2013-04-09
纺织城 ,20,79,140,24,23,34,118,3,2013-04-08
纺织城 ,40,103,107,41,25,30,104,3,2013-04-07
纺织城 ,19,83,89,23,27,33,82,1,2013-04-06
纺织城 ,13,65,95,22,16,22,88,1,2013-04-05
纺织城 ,30,105,129,36,16,16,129,3,2013-04-04
纺织城 ,53,110,136,40,38,47,140,3,2013-04-03
纺织城 ,56,116,126,39,8,10,133,3,2013-04-02
纺织城 ,25,103,374,41,30,41,144,3,2013-04-01
纺织城 ,40,106,145,43,32,29,176,4,2013-03-31
纺织城 ,57,111,158,42,32,37,179,4,2013-03-30
纺织城 ,48,108,168,40,17,22,179,4,2013-03-29
纺织城 ,60,121,136,42,20,21,120,3,2013-03-28
纺织城 ,49,119,135,43,21,23,117,3,2013-03-27
纺织城 ,59,106,139,36,9,35,143,3,2013-03-25
纺织城 ,47,85,165,27,27,36,142,4,2013-03-24
纺织城 ,53,111,167,43,31,37,186,4,2013-03-23
纺织城 ,48,109,112,34,24,26,110,3,2013-03-22
纺织城 ,48,107,187,33,14,16,172,4,2013-03-21
纺织城 ,43,99,171,24,27,35,143,4,2013-03-20
纺织城 ,42,111,178,35,24,25,159,4,2013-03-19
纺织城 ,36,106,152,53,25,25,124,4,2013-03-18
纺织城 ,40,99,158,67,29,37,138,4,2013-03-17
纺织城 ,51,105,161,66,10,12,198,4,2013-03-16
纺织城 ,58,104,164,60,22,26,192,4,2013-03-15
纺织城 ,53,80,134,54,20,25,162,4,2013-03-14
纺织城 ,59,97,500,58,10,13,396,7,2013-03-13
纺织城 ,55,94,500,49,13,14,362,7,2013-03-12
纺织城 ,66,87,132,41,13,18,124,3,2013-03-11
纺织城 ,31,60,466,30,20,25,190,7,2013-03-10
纺织城 ,27,83,500,36,20,23,426,7,2013-03-09
纺织城 ,52,109,137,42,31,35,118,3,2013-03-08
纺织城 ,38,103,182,47,26,29,165,4,2013-03-07
纺织城 ,59,106,250,52,24,28,195,6,2013-03-06
纺织城 ,64,111,191,52,28,34,203,6,2013-03-05
纺织城 ,53,104,171,43,23,28,153,4,2013-03-04
纺织城 ,47,100,162,44,24,28,152,4,2013-03-03
纺织城 ,67,103,157,40,16,19,137,4,2013-03-02
纺织城 ,47,69,137,21,20,27,90,3,2013-03-01
纺织城 ,67,111,258,53,21,23,254,6,2013-02-28
纺织城 ,76,119,249,60,40,46,307,7,2013-02-27
纺织城 ,88,130,222,70,26,20,298,6,2013-02-26
纺织城 ,65,116,242,56,171,35,320,7,2013-02-25
纺织城 ,58,116,242,56,34,43,306,7,2013-02-24
纺织城 ,40,110,146,49,35,41,227,6,2013-02-23
纺织城 ,32,103,101,40,35,43,144,3,2013-02-22
纺织城 ,42,87,75,37,21,27,118,3,2013-02-20
纺织城 ,13,72,70,32,19,24,114,3,2013-02-19
纺织城 ,12,69,75,35,27,33,118,3,2013-02-18
纺织城 ,64,77,138,67,29,31,252,6,2013-02-17
纺织城 ,67,64,163,78,26,31,295,6,2013-02-16
纺织城 ,9,48,76,52,27,35,77,1,2013-02-15
纺织城 ,43,55,92,57,21,27,134,3,2013-02-14
纺织城 ,39,50,76,53,30,34,100,1,2013-02-13
纺织城 ,44,43,86,57,28,35,155,4,2013-02-12
纺织城 ,8,48,276,68,10,13,276,6,2013-02-11
纺织城 ,7,59,500,74,23,27,496,7,2013-02-10
纺织城 ,6,69,159,65,19,23,298,6,2013-02-09
纺织城 ,8,53,185,51,16,22,144,3,2013-02-08
纺织城 ,41,55,123,65,14,18,186,4,2013-02-07
纺织城 ,41,79,170,88,10,15,312,7,2013-02-06
纺织城 ,34,67,89,73,22,25,137,3,2013-02-05
纺织城 ,10,63,130,73,8,12,175,4,2013-02-04
纺织城 ,26,80,119,88,8,12,268,6,2013-02-03
纺织城 ,49,102,354,98,9,13,375,7,2013-02-02
纺织城 ,52,107,295,101,9,13,413,7,2013-02-01
纺织城 ,44,102,213,86,15,16,333,7,2013-01-31
纺织城 ,68,114,328,89,12,15,414,7,2013-01-30
纺织城 ,61,103,205,73,16,19,324,7,2013-01-29
纺织城 ,40,69,99,51,19,26,93,1,2013-01-25
纺织城 ,42,59,78,32,25,31,57,1,2013-01-24
纺织城 ,64,102,164,65,12,15,254,6,2013-01-23
纺织城 ,42,69,119,46,23,26,173,4,2013-01-22
纺织城 ,47,59,71,38,20,24,79,1,2013-01-21
纺织城 ,48,97,208,89,8,12,333,7,2013-01-20
纺织城 ,70,111,422,105,8,12,420,7,2013-01-19
纺织城 ,72,108,302,97,10,13,307,7,2013-01-18
纺织城 ,54,93,192,68,12,16,219,6,2013-01-17
纺织城 ,51,77,152,46,18,22,139,4,2013-01-16
纺织城 ,61,68,149,39,20,23,85,3,2013-01-15
纺织城 ,74,113,339,90,9,13,382,7,2013-01-14
纺织城 ,65,103,195,78,10,14,294,6,2013-01-13
纺织城 ,77,101,179,67,10,13,228,6,2013-01-12
纺织城 ,64,89,168,64,19,21,228,6,2013-01-11
纺织城 ,81,105,279,76,9,13,332,7,2013-01-10
纺织城 ,61,89,178,69,10,14,250,6,2013-01-09
纺织城 ,66,105,286,79,9,13,326,7,2013-01-08
纺织城 ,75,106,253,79,9,13,316,7,2013-01-07
纺织城 ,73,105,395,92,9,13,372,7,2013-01-06
纺织城 ,91,89,181,65,9,13,251,6,2013-01-05
纺织城 ,93,63,142,25,29,14,148,3,2013-01-04
纺织城 ,44,35,61,45,66,29,70,1,2013-01-03
纺织城 ,67,42,65,5,49,22,82,1,2013-01-02
纺织城 ,72,57,72,11,65,25,100,1,2013-01-01
小寨 ,40,117,151,42,31,41,112,4,2013-04-26
小寨 ,38,125,169,45,31,40,132,4,2013-04-25
小寨 ,31,63,152,46,23,30,125,4,2013-04-24
小寨 ,30,80,132,77,24,28,142,3,2013-04-23
小寨 ,28,52,142,84,9,11,173,4,2013-04-22
小寨 ,44,55,113,76,18,23,138,3,2013-04-21
小寨 ,28,40,81,76,13,18,89,1,2013-04-20
小寨 ,18,37,112,74,16,22,87,3,2013-04-19
小寨 ,36,45,198,71,26,36,144,4,2013-04-18
小寨 ,48,78,149,84,40,54,107,3,2013-04-17
小寨 ,21,44,87,59,33,46,49,1,2013-04-16
小寨 ,25,99,104,76,38,56,68,3,2013-04-15
小寨 ,25,84,91,68,32,43,50,1,2013-04-14
小寨 ,25,99,97,74,29,39,62,1,2013-04-13
小寨 ,32,94,96,75,30,41,63,1,2013-04-12
小寨 ,22,64,90,71,25,36,59,1,2013-04-10
小寨 ,19,45,87,81,25,36,39,1,2013-04-09
小寨 ,22,70,130,96,22,32,72,3,2013-04-08
小寨 ,43,89,114,101,27,34,85,3,2013-04-07
小寨 ,25,62,91,83,25,35,55,1,2013-04-06
小寨 ,15,35,103,84,20,28,54,3,2013-04-05
小寨 ,36,79,161,101,15,20,172,4,2013-04-04
小寨 ,53,98,152,101,34,42,148,4,2013-04-03
小寨 ,62,94,139,96,11,14,114,3,2013-04-02
小寨 ,37,103,192,102,34,42,215,6,2013-04-01
小寨 ,52,82,187,98,29,29,222,6,2013-03-31
小寨 ,54,95,195,101,29,39,204,6,2013-03-30
小寨 ,53,85,172,93,20,27,165,4,2013-03-29
小寨 ,52,103,133,102,30,36,104,3,2013-03-28
小寨 ,46,107,124,102,22,30,99,3,2013-03-27
小寨 ,23,69,118,83,30,40,112,3,2013-03-26
小寨 ,59,84,142,84,11,38,128,3,2013-03-25
小寨 ,50,63,153,76,25,33,102,4,2013-03-24
小寨 ,47,102,181,101,32,38,170,4,2013-03-23
小寨 ,49,102,143,98,22,27,139,3,2013-03-22
小寨 ,50,82,166,86,16,22,143,4,2013-03-21
小寨 ,43,74,135,79,23,32,78,3,2013-03-20
小寨 ,37,104,166,103,25,28,110,4,2013-03-19
小寨 ,40,102,138,100,27,30,83,3,2013-03-18
小寨 ,51,69,141,90,32,44,143,3,2013-03-17
小寨 ,62,94,219,100,10,14,256,6,2013-03-16
小寨 ,86,95,190,89,15,19,219,6,2013-03-15
小寨 ,67,58,174,71,17,21,147,4,2013-03-14
小寨 ,77,73,500,91,11,15,253,7,2013-03-13
小寨 ,52,60,500,78,14,18,190,7,2013-03-12
小寨 ,74,63,143,61,12,14,93,3,2013-03-11
小寨 ,34,47,340,39,22,26,92,7,2013-03-10
小寨 ,35,92,500,66,18,25,196,7,2013-03-09
小寨 ,62,113,152,87,36,39,108,4,2013-03-08
小寨 ,68,113,199,68,25,27,127,4,2013-03-07
小寨 ,52,82,191,35,26,34,127,4,2013-03-06
小寨 ,97,111,209,52,22,24,193,6,2013-03-05
小寨 ,87,101,161,44,23,24,108,4,2013-03-04
小寨 ,46,70,162,45,26,34,95,4,2013-03-03
小寨 ,69,64,148,18,21,27,78,3,2013-03-02
小寨 ,58,55,163,30,18,25,54,4,2013-03-01
小寨 ,58,55,280,59,19,23,251,6,2013-02-28
小寨 ,95,64,358,103,21,30,349,7,2013-02-27
小寨 ,102,68,369,104,24,21,368,7,2013-02-26
小寨 ,102,53,305,62,9,11,347,7,2013-02-25
小寨 ,83,53,178,59,24,28,247,6,2013-02-23
小寨 ,68,43,111,49,28,32,130,3,2013-02-22
小寨 ,59,34,119,28,31,38,158,4,2013-02-21
小寨 ,59,25,93,42,17,22,117,3,2013-02-20
小寨 ,52,25,88,11,11,13,109,3,2013-02-19
小寨 ,35,27,103,22,22,24,110,3,2013-02-18
小寨 ,77,37,177,74,18,22,247,6,2013-02-17
小寨 ,79,39,192,103,21,28,284,6,2013-02-16
小寨 ,63,29,80,78,23,29,78,1,2013-02-15
小寨 ,65,29,101,83,20,25,128,3,2013-02-14
小寨 ,61,24,108,80,20,27,137,3,2013-02-12
小寨 ,71,25,188,88,10,11,275,6,2013-02-11
小寨 ,99,33,500,100,24,27,500,7,2013-02-10
小寨 ,104,38,173,90,18,20,283,6,2013-02-09
小寨 ,76,37,107,87,10,13,163,4,2013-02-08
小寨 ,94,38,134,91,10,12,195,4,2013-02-07
小寨 ,99,53,203,103,9,11,309,7,2013-02-06
